Entity Type,Operating Status,Out of Service Date,Legal Name,DBA Name,Physical Address,Phone,Mailing Address,USDOT Number,State Carrier ID Number,MC/MX/FF Number(s),DUNS Number,Power Units,Drivers,MCS-150 Form Date,MCS-150 Mileage (Year)
CARRIER,ACTIVE,None,R & M LUMBER INC,,"48514 BRUSHVILLE RD
            EAST PALESTINE, OH   44413-2308",(330) 457-0104,"48514 BRUSHVILLE RD
          EAST PALESTINE, OH   44413-2308",1241,,,01-800-6338,1,1,01/07/2002,
CARRIER,ACTIVE,None,WITMER'S INC,WITMER'S CONSTRUCTION,"39821 SALEM UNITY RD
            SALEM, OH   44460-9696",(330) 427-2611,"39821 SALEM UNITY RD
          SALEM, OH   44460-9696",1245,,,--,0,3,10/30/2023,"1,500 (2023)"
CARRIER/SHIPPER,AUTHORIZED FOR Property,None,ARIS HORTICULTURE INC,,"115 3RD STREET SE
            BARBERTON, OH   44203",(239) 603-7155,"115 3RD STREET SE
          BARBERTON, OH   44203",1253,,MC-270111,44-509-87,3,3,01/17/2023,"143,683 (2022)"
CARRIER,NOT AUTHORIZED,None,ROBERT E WELLS INC,,"1369 W 7900 S
            WEST JORDAN, UT   84088-9438",(801) 255-2407,"1369 W 7900 S
          WEST JORDAN, UT   84088-9438",1283,,MC-134955,56-093-107,5,3,05/27/2014,"25,150 (2010)"
CARRIER,ACTIVE,None,WERNLI INC,,"264 S GLENDALE ST #200
            SALT LAKE CITY, UT   84104",(801) 322-1676,"264 S GLENDALE ST #200
          SALT LAKE CITY, UT   84104",1287,,,58-127-06,8,8,09/22/2023,"55,110 (2022)"
CARRIER,ACTIVE,None,WESTERN RIVER EXPEDITIONS INC,,"7258 RACQUET CLUB DR
            SALT LAKE CITY, UT   84121-4521",(801) 942-6669,"7258 RACQUET CLUB DR
          SALT LAKE CITY, UT   84121-4521",1294,,,72-985-005,2,2,06/03/2022,"14,984 (2021)"
CARRIER,AUTHORIZED FOR Property,None,WHEELER MACHINERY CO,ICM SOLUTIONS WHEELER POWER SYSTEMS HERITAGE IND DIAMOND EQUIPMENT RENTAL,"4901 WEST 2100 SOUTH
            SALT LAKE CITY, UT   84120",(801) 978-1802,"4901 WEST 2100 SOUTH
          SALT LAKE CITY, UT   84120",1302,,MC-430141,--,204,122,07/19/2023,"7,049,605 (2022)"
CARRIER,ACTIVE,None,RAYMOND OIL COMPANY,,"703 SECOND STREET  SW
            HURON, SD   57350",(605) 352-8711,"PO BOX 142
          HURON, SD   57350-0142",1343,,,--,8,5,05/12/2014,"9,000 (2013)"
CARRIER,AUTHORIZED FOR Property,None,RISTVEDT TRUCKING INC,RISTVEDT,"2002 W KEMP AVE
            WATERTOWN, SD   57201-3050",(605) 886-8981,"2002 W KEMP AVE
          WATERTOWN, SD   57201-3050",1362,,MC-178902,--,5,3,11/08/2023,"1,230,692 (2012)"
CARRIER,AUTHORIZED FOR Property,None,RUDE TRANSPORTATION INC,,"200 S MARION ROAD
            SIOUX FALLS, SD   57017",(605) 335-6575,"200 S MARION ROAD
          SIOUX FALLS, SD   57017",1391,,MC-64732,68-683-92,68,62,05/25/2023,"3,351,225 (2022)"
CARRIER,ACTIVE,None,ROGER ST SAUVER,,"42511 SD HGH 10
            BRITTON, SD   57430",(605) 448-2265,"42511 SD HGH 10
          BRITTON, SD   57430",1405,,,18-090-0763,1,1,05/03/2002,"44,715 (2001)"
CARRIER,NOT AUTHORIZED,None,FANTASY LAND EXPRESS LLC,,"48049 227TH ST
            FLANDREAU, SD   57028-0345",(605) 997-2616,"PO BOX 345
          FLANDREAU, SD   57028-0345",1426,,MC-210046,--,1,1,08/05/2021,"3,800 (2020)"
CARRIER,ACTIVE,None,AUSTIN URETHANE INC,,"122 CRISP DRIVE
            AMERICUS, GA   31719",(229) 924-0316,"122 CRISP DRIVE
          AMERICUS, GA   31719",1438,,,82-826-306,13,10,12/13/2023,"640,665 (2023)"
CARRIER/BROKER,AUTHORIZED FOR Property,None,DAN SCHROEDERMEIER TRUCKING INC,,"210 N 16TH STREET
            BERESFORD, SD   57004-1504",(605) 763-2087,"210 N 16TH ST
          BERESFORD, SD   57004-1504",1440,,MC-191132,14-051-6964,15,15,04/25/2022,"1,637,732 (2021)"
CARRIER,ACTIVE,None,DAVIS-LYNCH GLASS CO,,"BOYERS AVE
            STAR CITY, WV   26505",(304) 599-2244,"P O BOX 4268
          MORGANTOWN, WV   26504-4268",1552,,,00-438-0200,1,2,09/23/2010,
CARRIER,AUTHORIZED FOR Property,None,FLEET SERVICE COMPANY INC,,"3007 CHAPLINE ST
            WHEELING, WV   26003-4107",(304) 232-6140,"3007 CHAPLINE ST
          WHEELING, WV   26003-4107",1592,,MC-129399,44-313-559,5,2,01/26/2023,"10,000 (2019)"
CARRIER,ACTIVE,None,FOLTZ LITTER INC,,"163 MIDDLE COVE ROAD
            MATHIAS, WV   26812",(304) 897-5266,"163 MIDDLE COVE ROAD
          MATHIAS, WV   26812",1596,,,--,12,8,03/20/2023,"389,489 (2022)"
CARRIER,ACTIVE,None,GRIMM LUMBER INC,,"78 WOOD ROCK RD
            TERRA ALTA, WV   26764",(304) 789-6231,"78 WOOD ROCK RD
          TERRA ALTA, WV   26764",1615,,,43-250-31,2,1,05/11/2023,"5,000 (2022)"
CARRIER,ACTIVE,None,MYERS COX CO,,"8797 KAPP DR
            PEOSTA, IA   52068",(563) 583-8200,"PO BOX 180
          PEOSTA, IA   52068",1625,,,22-145-809,9,6,03/14/2022,"33,600 (2021)"
CARRIER,ACTIVE,None,WILLIAM NEVILLE,,"401 WEST HIGH
            TOLEDO, IA   52342",(641) 484-4184,"401 WEST HIGH
          TOLEDO, IA   52342",1637,,,--,1,1,,
CARRIER/SHIPPER,ACTIVE,None,NORTHLAND PRODUCTS CO INC,,"1000 RAINBOW DRIVE
            WATERLOO, IA   50701",(319) 234-5585,"PO BOX 418
          WATERLOO, IA   50704-0418",1652,,,22-365-480,19,11,07/07/2023,"814,658 (2022)"
CARRIER,AUTHORIZED FOR Property,None,OLSON EXPLOSIVES INC,OLSON TRUCKING,"1837 TROUT RUN RD
            DECORAH, IA   52101-0090",(563) 382-2953,"P O  BOX 90
          DECORAH, IA   52101-0090",1661,,MC-163019,--,29,24,01/12/2022,"608,154 (2021)"
CARRIER,AUTHORIZED FOR Property,None,ART PAPE TRANSFER INC,TUCKER FREIGHT LINES INC,"1080 EAST 12TH STREET
            DUBUQUE, IA   52001",(563) 588-1435,"1080 EAST 12TH STREET
          DUBUQUE, IA   52001",1674,,MC-136553,29-258-24,290,264,12/19/2023,"25,000,000 (2022)"
CARRIER,ACTIVE,None,RAINBO OIL COMPANY-TRANSPORT SALES COMPANY,TRANSPORT SALES CO - RAINBO OIL,"2255 KERPER BLVD
            DUBUQUE, IA   52001",(563) 582-7291,"PO BOX 768
          DUBUQUE, IA   52001",1719,,,79-885-38,5,8,07/28/2023,"72,048 (2020)"
CARRIER,ACTIVE,None,RASCH CONSTRUCTION INC,,"1828 JOHNSON AVENUE
            FORT DODGE, IA   50501",(515) 576-4175,"1828 JOHNSON AVENUE
          FORT DODGE, IA   50501",1721,,,22-169-650,6,32,01/09/2023,"289,000 (2022)"
CARRIER,ACTIVE,None,RICHTER STOCK FARM INC,,"210 MAIN ST
            REINBECK, IA   50669-1041",(319) 345-2625,"210 MAIN ST
          REINBECK, IA   50669-1041",1734,,,04-249-7800,4,3,01/04/2004,"24,110 (1998)"
CARRIER,ACTIVE,None,ROEDER BROS INC,,"900 STATE ST
            BELLEVUE, IA   52031",(563) 872-5527,"P O BOX 27
          BELLEVUE, IA   52031-0027",1737,,,22-023-006,3,3,06/26/2023,"25,000 (2020)"
CARRIER,AUTHORIZED FOR Property,None,JEFFORY ALLEN RUNDLETT,RUNDLETT TRUCKING,"412  DEVONSHIRE DR
            WATERLOO, IA   50701",(319) 232-5457,"412  DEVONSHIRE DR
          WATERLOO, IA   50701",1749,,MC-246530,--,2,2,02/17/2023,"155,056 (2022)"
CARRIER,AUTHORIZED FOR Property,None,SCHMUECKER TRUCK LINE INC,,"2999 197TH ST
            EARLVILLE, IA   52041-8603",(563) 875-8349,"2999 197TH ST
          EARLVILLE, IA   52041-8603",1771,,MC-323570,47-052-188,5,6,01/23/2023,"140,680 (2022)"
CARRIER,AUTHORIZED FOR Property,None,SEEGERS TRUCK LINE INC,,"727 S STATE ST
            DENVER, IA   50622-1017",(319) 984-5163,"P O BOX 392
          DENVER, IA   50622-0392",1783,,MC-112048,88-633-34,21,17,02/07/2023,"1,212,892 (2022)"
CARRIER,NOT AUTHORIZED,None,IVAN STEINBECK TRUCKING,,"303 WILSON  BOX 212
            BRANDON, IA   52210",(319) 474-2440,"P O BOX 212
          BRANDON, IA   52210-0212",1821,,MC-213609,02-203-1462,2,3,,
CARRIER,ACTIVE,None,SUKUP MANUFACTURING COMPANY,,"1555 255 STREET
            SHEFFIELD, IA   50475",(641) 892-4222,"1555 255 STREET
          SHEFFIELD, IA   50475",1829,,,--,64,42,06/29/2022,"1,080,000 (2021)"
CARRIER,ACTIVE,None,SUPERIOR WELDING SUPPLY CO,,"900 COMMERCIAL ST
            WATERLOO, IA   50702",(319) 236-9660,"P O BOX 690
          WATERLOO, IA   50704-0690",1830,,,22-367-387,12,16,11/06/2023,"288,400 (2023)"
CARRIER,ACTIVE,None,D C TAYLOR CO,,"500 STICKLE DR NE
            CEDAR RAPIDS, IA   52401",(319) 363-2073,"PO BOX 97
          CEDAR RAPIDS, IA   52406",1839,,,38-306-68,57,45,10/03/2023,"930,000 (2022)"
CARRIER,ACTIVE,None,TODD & SARGENT INC,,"2905 SE 5TH ST
            AMES, IA   50010-9761",(515) 232-0442,"2905 SE 5TH ST
          AMES, IA   50010-9761",1855,,,78-200-04,13,13,04/04/2023,"403,204 (2022)"
CARRIER,NOT AUTHORIZED,None,DAVID BARSTOW TRUCKING,,"2305 160TH AVE
            SAINT CROIX FALLS, WI   54024",(715) 483-9403,"2305 160TH AVE
          SAINT CROIX FALLS, WI   54024",1859,,MC-147972,36-255-4537,1,1,09/04/2001,
CARRIER,ACTIVE,None,UNIVERSAL MANUFACTURING CO,,"405  DIAGONAL ST
            ALGONA, IA   50511",(515) 295-3557,"PO BOX 190
          ALGONA, IA   50511",1872,,,--,4,5,02/14/2007,"137,521 (2006)"
CARRIER,ACTIVE,None,BIERSCH INC,UNIVERSAL INDUSTRIES INC,"5800 NORDIC DR
            CEDAR FALLS, IA   50613-0019",(319) 277-7501,"PO BOX 308
          CEDAR FALLS, IA   50613-0019",1873,,,10-739-1765,5,6,03/07/2023,"20,000 (2022)"
CARRIER/SHIPPER,AUTHORIZED FOR Property,None,VAN DIEST SUPPLY CO,,"1434 220TH STREET
            WEBSTER CITY, IA   50595",(515) 832-2366,"P O BOX 610
          WEBSTER CITY, IA   50595",1875,,MC-187530,53-141-17,145,159,04/27/2023,"6,445,240 (2022)"
CARRIER,ACTIVE,None,THE VOKOUN COMPANY,,"1001 2ND STREET
            TRAER, IA   50675",(319) 478-2261,"1001 2ND STREET
          TRAER, IA   50675",1887,,,--,1,1,,
CARRIER,ACTIVE,None,WAGNER TRANSPORT LLC,,"728 1ST AVENUE WEST
            DYERSVILLE, IA   52040",(563) 875-2568,"3011 177TH ST
          DYERSVILLE, IA   52040",1891,,,--,3,8,01/27/2023,"183,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,WARREN TRANSPORT INC,,"3124 TITAN TRAIL
            WATERLOO, IA   50701",(319) 233-6113,"PO BOX 420
          WATERLOO, IA   50704",1896,,MC-114211,65-199-085,415,419,03/09/2023,"32,524,549 (2022)"
CARRIER/SHIPPER,ACTIVE,None,WEBER STONE CO INC,STONE CITY QUARRIES,"12791 STONE CITY RD X 28
            ANAMOSA, IA   52205-9801",(319) 462-3581,"12791 STONE CITY RD X 28
          ANAMOSA, IA   52205-9801",1902,,,58-591-78,12,12,02/06/2023,"172,785 (2022)"
CARRIER,AUTHORIZED FOR Property,None,WENGER TRUCK LINE INC,,"1011 FLORAL LANE
            DAVENPORT, IA   52802",(563) 333-4500,"1011 FLORAL LANE
          DAVENPORT, IA   52802",1905,,MC-109818,87-124-285,1,1,11/16/2023,1 (2023)
CARRIER,ACTIVE,None,RON WEYMILLER CONSTRUCTION,,"382 MAPLE NE
            NEW ALBIN, IA   52160",(563) 544-4239,"PO BOX 406
          NEW ALBIN, IA   52160",1914,,,--,2,1,03/07/2023,"10,000 (2022)"
CARRIER,ACTIVE,None,WINNEBAGO INDUSTRIES INC,,"605 W CRYSTAL LAKE RD
            FOREST CITY, IA   50436",(641) 585-6935,"605 W CRYSTAL LAKE RD
          FOREST CITY, IA   50436",1929,,,53-007-51,1,1,10/26/2023,"1,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,WITTENBURG TRUCK LINE INC,,"117 MALONE AVENUE
            READLYN, IA   50668",(319) 279-3371,"P O BOX 99
          READLYN, IA   50668",1931,,MC-146051,55-590-301,14,11,10/02/2023,"761,081 (2022)"
CARRIER,ACTIVE,None,ATLANTIC BOTTLING COMPANY,ATLANTIC COCA-COLA BOTTLING COMPANY,"4 E 2ND ST
            ATLANTIC, IA   50022-1103",(712) 243-1440,"P O BOX 110
          ATLANTIC, IA   50022-0110",1938,,,52-956-39,167,225,08/09/2023,"4,620,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,T R ANDERSEN TRUCKING INC,,"1662 190TH
            AUDUBON, IA   50025-7568",(712) 563-4091,"1662 190TH
          AUDUBON, IA   50025-7568",1948,,MC-24205,--,2,3,07/29/2022,"75,000 (2020)"
CARRIER,ACTIVE,None,ALL MAKES OFFICE EQUIPMENT CO,,"2558 FARNAM ST
            OMAHA, NE   68131-3628",(402) 341-2413,"2558 FARNAM ST
          OMAHA, NE   68131-3628",1960,,,35-104-413,5,6,08/04/2022,"40,000 (2021)"
CARRIER,ACTIVE,None,A B & C CORPORATION,ALLISON BROTHERS DRILLING CO INC,"1275 SHERMAN ST
            DENVER, CO   80203-2212",(303) 861-2228,"1275 SHERMAN ST
          DENVER, CO   80203-2212",1983,,,--,1,1,08/24/2001,"10,000 (2000)"
CARRIER,ACTIVE,None,BELT SALVAGE COMPANY,,"6702 HWY 491
            CORTEZ, CO   81321",(970) 565-3059,"P O BOX 699
          CORTEZ, CO   81321",2018,,,--,2,4,07/05/2023,"30,000 (2018)"
CARRIER,NOT AUTHORIZED,None,A-1 RELOCATION INC,,"11701 E 33RD AVE
            AURORA, CO   80010",(303) 364-2684,"11701 E 33RD AVE
          AURORA, CO   80010",2030,,MC-120049,--,9,10,10/29/2003,0 ()
CARRIER/SHIPPER,AUTHORIZED FOR Property,None,BIRKO CORPORATION,,"9152 YOSEMITE STREET
            HENDERSON, CO   80640",(303) 289-1090,"9152 YOSEMITE STREET
          HENDERSON, CO   80640",2039,,MC-763603,70-653-60,7,6,11/02/2023,"457,301 (2022)"
CARRIER,AUTHORIZED FOR Property,None,GREAT PLAINS NORTH AMERICAN COMPANY,GREAT PLAINS NORTH AMERICAN CO,"22700 E I-76 FRONTAGE RD STE 100
            BRIGHTON, CO   80603",(303) 957-3141,"22700 E I-76 FRONTAGE RD STE 100
          BRIGHTON, CO   80603",2042,,MC-120029,--,16,14,09/12/2023,"100,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,GARDA CL CENTRAL INC,,"2000 NW CORPORATE BLVD
            BOCA RATON, FL   33431-7304",(561) 939-7000,"2000 NW CORPORATE BLVD
          BOCA RATON, FL   33431-7304",2046,,MC-65419,45-734-852,43,103,06/20/2022,"1,460,000 (2022)"
CARRIER/BROKER,AUTHORIZED FOR Property,None,FRANKLIN EXPRESS INC,,"HIGHWAY 31W NORTH 2305 BOWLING GREEN RD
            FRANKLIN, KY   42134",(270) 586-3296,"PO BOX 473
          FRANKLIN, KY   42135",2061,,MC-123189,57-728-50,24,26,01/27/2023,"1,242,863 (2022)"
CARRIER,AUTHORIZED FOR Property,None,TMC INC,,"13148 US HIGHWAY 285
            LA JARA, CO   81140",(719) 274-5262,"PO BOX 70
          LA JARA, CO   81140",2065,,MC-249338,13-939-407,4,8,01/27/2023,"90,050 (2021)"
CARRIER,AUTHORIZED FOR Property,None,EDLIN BROTHERS INC,,"1637 LYONS STATION ROAD
            NEW HAVEN, KY   40051-9720",(502) 549-3420,"1637 LYONS STATION ROAD
          NEW HAVEN, KY   40051-9720",2075,,MC-123371,68-669-33,21,16,12/12/2023,"844,665 (2022)"
CARRIER,AUTHORIZED FOR Property,None,TGRC GATES CORPORATION,GATES CORPORATION,"1450 MONTANA RD
            IOLA, KS   66749",(620) 365-4507,"PO BOX 606
          IOLA, KS   66749",2092,,MC-188048,55-433-197,2,3,04/14/2023,"10,000 (2022)"
CARRIER/SHIPPER/CARGO TANK,ACTIVE,None,GENERAL AIR SERVICE & SUPPLY CO,,"1105 ZUNI ST
            DENVER, CO   80204-3338",(303) 892-7003,"1105 ZUNI ST
          DENVER, CO   80204-3338",2093,,,51-227-338,55,52,03/15/2023,"630,000 (2021)"
CARRIER,ACTIVE,None,GOLDEN TRANSFER CO,,"111 S PRATT PARKWAY
            LONGMONT, CO   80501",(303) 776-3882,"PO BOX 907
          LONGMONT, CO   80502-0907",2107,,,48-642-52,1,1,11/27/2023,"12,350 (2022)"
CARRIER,ACTIVE,None,HAEFELIS HONEY FARM INC,,"3927 N CR 3W
            MONTE VISTA, CO   81144",(719) 852-3149,"3927 N CR 3W
          MONTE VISTA, CO   81144",2139,,,32-120-974,4,2,09/18/2003,0 ()
CARRIER,ACTIVE,None,J W BREWER TIRE CO INC,,"11900 W 44TH AVE
            WHEAT RIDGE, CO   80033",(303) 422-2300,"11900 W 44TH AVE
          WHEAT RIDGE, CO   80033",2185,,,31-937-261,1,1,,0 ()
CARRIER,ACTIVE,None,BALTO INDUSTRIES INC,,"5895 YORK ST
            DENVER, CO   80216",(303) 288-6766,"P O BOX 1241
          COMMERCE CITY, CO   80022",2227,,,--,2,2,04/19/2006,"7,000 (2005)"
CARRIER,ACTIVE,None,PEERLESS TYRE CO,,"5000 KINGSTON STREET
            DENVER, CO   80239-2841",(303) 371-4300,"5000 KINGSTON STREET
          DENVER, CO   80239-2841",2246,,,43-795-244,2,1,07/07/2021,"10,000 (2020)"
CARRIER/SHIPPER,ACTIVE,None,INDUSTRIAL CHEMICALS CORPORATION,,"4631 W 58TH AVE
            ARVADA, CO   80002",(303) 427-2727,"4631 W 58TH AVE
          ARVADA, CO   80002",2268,,,31-988-728,14,12,01/09/2023,"305,621 (2016)"
CARRIER,NOT AUTHORIZED,None,MERRIL FLEIG,FLEIG TRUCKING,"1627 HWY 1
            FAIRFIELD, IA   52556",(641) 472-2363,"1627 HWY 1
          FAIRFIELD, IA   52556",2304,,MC-135635,--,1,1,10/18/2005,
CARRIER,AUTHORIZED FOR Property,None,FADIGA TRUCKING INC,,"17901 HIGHWAY J29
            CENTERVILLE, IA   52544",(641) 895-0632,"17901 HIGHWAY J29
          CENTERVILLE, IA   52544",2315,,MC-185581,--,1,3,01/31/2023,"103,152 (2022)"
BROKER,AUTHORIZED FOR BROKER Property,None,TRANSFORM TRUCKING CO,,"1800 NE BROADWAY AVE
            DES MOINES, IA   50313",(515) 313-4280,"1800 NE BROADWAY AVE
          DES MOINES, IA   50313",2321,,MC-189256,17-439-8024,0,,01/06/2023,
CARRIER,NOT AUTHORIZED,None,NORTH BEND TRANSFER CO,KRUGER FEED & SEED,"1300 W 7TH ST
            NORTH BEND, NE   68649",(402) 625-8384,"PO BOX 250
          NORTH BEND, NE   68649-0250",2336,,MC-120465,41-238-866,1,1,11/16/2022,"915,430 (2022)"
CARRIER,AUTHORIZED FOR Property,None,KORTH TRUCKING INC,,"55403 HIGHWAY 13
            NORFOLK, NE   68701",(402) 371-7741,"55403 HIGHWAY 13
          NORFOLK, NE   68701",2340,,MC-177051,--,9,7,03/09/2022,"576,357 (2021)"
CARRIER,AUTHORIZED FOR Property,None,KNIGHT LLC,,"81162 468TH AVE
            ORD, NE   68862",(308) 728-3293,"81162 468TH AVE
          ORD, NE   68862",2345,,MC-273358,14-124-8708,3,3,05/16/2022,"161,500 (2021)"
CARRIER,ACTIVE,None,BISSELL-BABCOCK MILLWORK INC,,"3852 KENDRICK ROAD
            SHERMAN, NY   14781-9628",(716) 761-6976,"3852 KENDRICK ROAD
          SHERMAN, NY   14781-9628",2351,,,--,1,1,05/02/2023,
CARRIER,AUTHORIZED FOR Property,None,BELT TRANSFER COMPANY INC,,"5330 POINT PLEASANT ROAD
            RAVENSWOOD, WV   26164",(304) 273-1251,"5330 POINT PLEASANT ROAD
          RAVENSWOOD, WV   26164",2408,,MC-2260,36-255-2135,33,33,08/12/2022,"474,678 (2019)"
CARRIER,AUTHORIZED FOR Property,None,BOGGESS TRUCKING LLC,,"# 6 WEST 19TH STREET
            NITRO, WV   25143-0218",(304) 759-2101,"PO BOX 218
          NITRO, WV   25143-0218",2409,,MC-133970,--,1,1,07/25/2022,"8,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,BURNS MOTOR FREIGHT INC,,"18750 SENECA TRAIL
            MARLINTON, WV   24954-0149",(304) 799-6106,"P O BOX 149
          MARLINTON, WV   24954",2413,,MC-111785,78-262-66,60,48,02/07/2023,"3,360,266 (2022)"
CARRIER,AUTHORIZED FOR Property,None,L J NAVY TRUCKING CO,,"19411 US 23 NORTH
            CIRCLEVILLE, OH   43113",(740) 477-4150,"19411 US 23 NORTH
          CIRCLEVILLE, OH   43113",2451,,MC-123887,--,1,1,11/21/2022,"80,000 (2021)"
CARRIER,ACTIVE,None,RHODES BRICK & BLOCK INC,,"107 INDUSTRIAL ROAD
            SAINT ALBANS, WV   25177-1780",(304) 727-7062,"107 INDUSTRIAL ROAD
          SAINT ALBANS, WV   25177-1780",2460,,,68-143-262,11,8,11/16/2023,"164,882 (2019)"
CARRIER,ACTIVE,None,G L STONE INC,,"7701 LYNN AVE
            HAMLIN, WV   25523",(304) 824-3800,"24 1ST STREET
          HAMLIN, WV   25523",2465,,,16-066-987,1,1,08/11/2023,"1,449 (2022)"
CARRIER,AUTHORIZED FOR Property,None,JOHN S WATSON TRUCKING COMPANY LLC,,"59 WAYSIDE DR
            WESTON, WV   26452",(304) 269-3516,"59 WAYSIDE DR
          WESTON, WV   26452",2477,,MC-138878,63-748-735,10,2,05/16/2023,"25,673 (2021)"
CARRIER,AUTHORIZED FOR Property,None,ANDERSON ERICKSON DAIRY COMPANY,AE,"2420 E UNIVERSITY AVE
            DES MOINES, IA   50317",(515) 265-2521,"2420 E UNIVERSITY AVE
          DES MOINES, IA   50317",2489,,MC-286608,52-787-34,156,167,09/02/2022,"3,960,000 (2021)"
CARRIER/BROKER,AUTHORIZED FOR Property,None,ALTER TRUCKING AND TERMINAL CORPORATION,,"2117 STATE STREET SUITE 300
            BETTENDORF, IA   52722",(314) 787-3896,"700 OFFICE PARKWAY
          ST LOUIS, MO   63141",2497,,"MC-126045
 MC-133880",84-503-5955,5,1,07/11/2023,1 (2018)
CARRIER/CARGO TANK,ACTIVE,None,ALLIED GAS AND CHEMICAL COMPANY INC,,"1807 17TH AVE E
            OSKALOOSA, IA   52577-3555",(641) 673-3491,"PO BOX 387
          OSKALOOSA, IA   52577",2503,,,--,6,5,07/26/2023,"7,000 (2022)"
CARRIER/SHIPPER,AUTHORIZED FOR Property,None,BARTON SOLVENTS INC,,"1920 NE BROADWAY
            DES MOINES, IA   50313",(515) 265-7998,"PO BOX 221
          DES MOINES, IA   50306-0221",2516,,MC-281716,53-067-17,89,79,06/01/2023,"3,142,302 (2022)"
CARRIER,ACTIVE,None,BLOOM BUILDERS CO,,"2356 HWY 23
            OSKALOOSA, IA   52577",(641) 673-8338,"PO BOX 118
          OSKALOOSA, IA   52577",2531,,,--,,,02/13/2002,
CARRIER,ACTIVE,None,AUTOMATIC EQUIPMENT MANUFACTURING,BLUE OX,"ONE MILL ROAD
            PENDER, NE   68047",(402) 385-9579,"PO BOX 430
          PENDER, NE   68047",2555,,,72-592-37,5,9,05/23/2023,"50,000 (2022)"
CARRIER,ACTIVE,None,CAROL BARCLAY TRUCKING,,"790 FIDDLER CRK ROAD
            HOMER, NE   68030",(402) 698-2575,"790 FIDDLER CRK ROAD
          HOMER, NE   68030",2556,,,--,2,2,02/01/2023,1 (2022)
CARRIER,ACTIVE,None,THE BROYHILL COMPANY,,"ONE NORTH MARKET SQUARE
            DAKOTA CITY, NE   68731-0475",(402) 987-3412,"P O  BOX 475
          DAKOTA CITY, NE   68731",2561,,,72-576-29,0,5,02/01/2022,"3,025 (2021)"
CARRIER,AUTHORIZED FOR Property,None,C & H HEAVY DUTY SPECIALIST INC,C & H TOWING SERVICE,"567 OLD HWY 20
            SOUTH SIOUX CITY, NE   68776",(402) 494-1328,"PO BOX 945
          SOUTH SIOUX CITY, NE   68776",2566,,MC-135126,39-834-536,4,4,07/12/2022,"32,757 (2020)"
CARRIER,AUTHORIZED FOR Property,None,H & I TRUCKING LLC,,"205 MAIN AVE
            HETLAND, SD   57212",(605) 203-0472,"205 MAIN AVE
          HETLAND, SD   57212",2575,,MC-201165,--,7,7,03/14/2023,"610,000 (2022)"
CARRIER,ACTIVE,None,MERRILL LARSON TRANSFER INC,,"800 CO RD L
            OAKLAND, NE   68045",(402) 685-5255,"800 CO RD L
          OAKLAND, NE   68045",2588,,,78-038-924,10,10,06/17/2022,"937,094 (2021)"
CARRIER,ACTIVE,None,LEE VALLEY INC,,"1325 HWY 75
            TEKAMAH, NE   68061",(402) 374-2792,"1325 HWY 75
          TEKAMAH, NE   68061",2589,,,54-306-634,5,4,07/05/2022,"20,000 (2021)"
CARRIER,AUTHORIZED FOR Property,None,LEWIS & SON TRUCKING LLC,,"624 SCHNELL RD
            GLASGOW, MO   65254",(660) 728-2107,"624 SCHNELL RD
          GLASGOW, MO   65254",2636,,MC-675109,43-495-746,1,1,05/15/2023,"84,000 (2022)"
CARRIER,AUTHORIZED FOR Property,None,STAN ALLES,,"4601 N JAMESON AVE
            FRESNO, CA   93723",(559) 842-9424,"PO BOX 908
          BIOLA, CA   93606",2662,,MC-649082,18-643-5657,14,8,02/22/2022,"850,000 (2021)"
CARRIER,ACTIVE,None,BLIZZARD OF VIRGINIA INC,BLIZZARD INDUSTRIAL SUPPLY,"517 INDUSTRIAL PARK DRIVE
            BLUEFIELD, VA   24605",(276) 326-6111,"PO BOX 1259
          BLUEFIELD, VA   24605-4259",2698,,,11-601-9704,4,2,08/28/2023,"98,141 (2022)"
CARRIER,ACTIVE,None,BREWER & COMPANY OF WV INC,,"3601 7TH AVE
            CHARLESTON, WV   25387",(304) 744-5314,"P O  BOX 3108
          CHARLESTON, WV   25331",2704,,,50-256-55,1,1,10/12/2022,"20,000 (2017)"
CARRIER,ACTIVE,None,MCKINNEY BEDDING CO,RESTONIC SPRINGFIELD,"718 W CHASE ST
            SPRINGFIELD, MO   65803-1522",(417) 866-2747,"718 W CHASE ST
          SPRINGFIELD, MO   65803-1522",2771,,,71-340-26,3,1,11/14/2022,"79,761 (2017)"
CARRIER,ACTIVE,None,AMERICAN BLOCK COMPANY INC,,"494 COURTHOUSE ROAD
            PRINCETON, WV   24740",(304) 425-8955,"494 COURTHOUSE ROAD
          PRINCETON, WV   24740",2824,,,50-027-38,7,4,06/06/2023,1 (2022)
CARRIER,ACTIVE,None,APPALACHIAN TIRE PRODUCTS INC,,"2907 4TH AVE
            CHARLESTON, WV   25387-1721",(304) 744-9473,"2907 4TH AVE
          CHARLESTON, WV   25387-1721",2837,,,89-587-20,40,38,06/05/2023,"660,000 (2022)"
